RESERVOIR,Date,Full Capacity (mcft),Full Tank Level (ft.),Level (ft),Outflow (cusecs),Rainfall (mm),Storage (mcft),Storage Level (%),Storage as on same day last year (mcft)
CHOLAVARAM,31-08-2023,1081.00,65.50,49.43,25.00,6.0,126.00,11.66,132.00
KANNANKOTTAI THERVOY KANDIGAI,01-03-2024,500.00,115.35,114.45,20.00,0.0,468.00,93.60,500.00
KANNANKOTTAI THERVOY KANDIGAI,01-07-2024,500.00,115.35,108.94,15.00,0.0,301.00,60.20,400.00
KANNANKOTTAI THERVOY KANDIGAI,02-06-2025,500.00,115.35,108.95,20.00,21.0,300.00,60.00,321.00
KANNANKOTTAI THERVOY KANDIGAI,02-08-2024,500.00,115.35,109.08,15.00,0.0,304.00,60.80,364.00
KANNANKOTTAI THERVOY KANDIGAI,03-10-2024,500.00,115.35,108.79,15.00,0.0,296.00,59.20,491.00
KANNANKOTTAI THERVOY KANDIGAI,05-01-2025,500.00,115.35,114.84,15.00,0.0,480.00,96.00,499.00
KANNANKOTTAI THERVOY KANDIGAI,05-08-2024,500.00,115.35,109.04,15.00,8.0,303.00,60.60,361.00
KANNANKOTTAI THERVOY KANDIGAI,06-02-2025,500.00,115.35,114.46,10.00,0.0,468.00,93.60,491.00
KANNANKOTTAI THERVOY KANDIGAI,06-12-2024,500.00,115.35,109.77,15.00,0.0,325.00,65.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,07-03-2024,500.00,115.35,114.19,15.00,0.0,460.00,92.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,07-09-2024,500.00,115.35,109.04,10.00,5.0,303.00,60.60,340.00
KANNANKOTTAI THERVOY KANDIGAI,08-10-2023,500.00,115.35,114.98,15.00,23.0,484.00,96.80,500.00
KANNANKOTTAI THERVOY KANDIGAI,09-03-2024,500.00,115.35,114.16,15.00,0.0,459.00,91.80,500.00
KANNANKOTTAI THERVOY KANDIGAI,09-04-2023,500.00,115.35,115.15,15.00,0.0,491.00,98.20,491.00
KANNANKOTTAI THERVOY KANDIGAI,10-06-2023,500.00,115.35,113.70,20.00,15.0,445.00,89.00,437.00
KANNANKOTTAI THERVOY KANDIGAI,10-12-2023,500.00,115.35,115.35,118.00,0.0,500.00,100.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,11-02-2023,500.00,115.35,115.25,15.00,0.0,496.00,99.20,500.00
KANNANKOTTAI THERVOY KANDIGAI,11-05-2023,500.00,115.35,114.46,10.00,0.0,468.00,93.60,465.00
KANNANKOTTAI THERVOY KANDIGAI,12-06-2024,500.00,115.35,109.52,15.00,0.0,317.00,63.40,442.00
KANNANKOTTAI THERVOY KANDIGAI,12-07-2023,500.00,115.35,111.83,25.00,0.0,386.00,77.20,426.00
KANNANKOTTAI THERVOY KANDIGAI,13-07-2024,500.00,115.35,109.11,15.00,19.0,306.00,61.20,384.00
KANNANKOTTAI THERVOY KANDIGAI,13-09-2024,500.00,115.35,108.93,10.00,0.0,300.00,60.00,326.00
KANNANKOTTAI THERVOY KANDIGAI,14-02-2024,500.00,115.35,115.12,10.00,0.0,490.00,98.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,14-12-2023,500.00,115.35,115.35,32.00,0.0,500.00,100.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,15-09-2023,500.00,115.35,109.70,21.00,0.0,321.00,64.20,500.00
KANNANKOTTAI THERVOY KANDIGAI,15-10-2023,500.00,115.35,114.52,15.00,0.0,470.00,94.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,15-11-2024,500.00,115.35,109.05,15.00,7.0,303.00,60.60,433.00
KANNANKOTTAI THERVOY KANDIGAI,16-01-2025,500.00,115.35,114.54,10.00,0.0,471.00,94.20,496.00
KANNANKOTTAI THERVOY KANDIGAI,16-11-2023,500.00,115.35,113.34,10.00,7.0,434.00,86.80,500.00
KANNANKOTTAI THERVOY KANDIGAI,17-12-2023,500.00,115.35,115.35,32.00,0.0,500.00,100.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,18-01-2024,500.00,115.35,115.25,10.00,0.0,496.00,99.20,476.00
KANNANKOTTAI THERVOY KANDIGAI,18-02-2024,500.00,115.35,114.85,23.00,0.0,480.00,96.00,500.00
KANNANKOTTAI THERVOY KANDIGAI,18-05-2025,500.00,115.35,109.21,20.00,0.0,308.00,61.60,344.00
KANNANKOTTAI THERVOY KANDIGAI,18-06-2024,500.00,115.35,109.37,15.00,6.0,313.00,62.60,428.00
KANNANKOTTAI THERVOY KANDIGAI,20-03-2025,500.00,115.35,112.56,20.00,0.0,410.00,82.00,447.00
KANNANKOTTAI THERVOY KANDIGAI,20-04-2024,500.00,115.35,112.24,23.00,0.0,398.00,79.60,478.00
KANNANKOTTAI THERVOY KANDIGAI,22-05-2025,500.00,115.35,109.15,20.00,0.0,306.00,61.20,336.00
KANNANKOTTAI THERVOY KANDIGAI,23-11-2023,500.00,115.35,113.41,10.00,6.0,436.00,87.20,500.00
KANNANKOTTAI THERVOY KANDIGAI,24-07-2024,500.00,115.35,109.35,15.00,0.0,312.00,62.40,371.00
KANNANKOTTAI THERVOY KANDIGAI,24-09-2024,500.00,115.35,108.83,15.00,0.0,297.00,59.40,325.00
KANNANKOTTAI THERVOY KANDIGAI,25-08-2023,500.00,115.35,110.55,17.00,0.0,347.00,69.40,500.00
KANNANKOTTAI THERVOY KANDIGAI,25-10-2024,500.00,115.35,109.51,10.00,0.0,317.00,63.40,452.00
KANNANKOTTAI THERVOY KANDIGAI,26-10-2023,500.00,115.35,113.80,15.00,0.0,448.00,89.60,500.00
KANNANKOTTAI THERVOY KANDIGAI,26-11-2023,500.00,115.35,113.41,10.00,0.0,436.00,87.20,500.00
KANNANKOTTAI THERVOY KANDIGAI,27-02-2025,500.00,115.35,113.67,20.00,0.0,444.00,88.80,472.00
KANNANKOTTAI THERVOY KANDIGAI,27-12-2024,500.00,115.35,114.98,10.00,8.0,484.00,96.80,500.00
KANNANKOTTAI THERVOY KANDIGAI,28-01-2024,500.00,115.35,115.21,10.00,0.0,494.00,98.80,466.00
KANNANKOTTAI THERVOY KANDIGAI,29-02-2024,500.00,115.35,114.49,23.00,0.0,469.00,93.80,500.00
KANNANKOTTAI THERVOY KANDIGAI,29-06-2025,500.00,115.35,108.19,20.00,0.0,277.00,55.40,303.00
KANNANKOTTAI THERVOY KANDIGAI,31-08-2023,500.00,115.35,110.42,15.00,0.0,343.00,68.60,500.00
POONDI,01-03-2024,3231.00,140.00,137.72,188.00,0.0,2441.00,75.55,2498.00
POONDI,01-07-2024,3231.00,140.00,121.85,26.00,0.0,65.00,2.01,1698.00
POONDI,02-06-2025,3231.00,140.00,134.13,47.00,0.0,1545.00,47.82,251.00
POONDI,02-08-2024,3231.00,140.00,122.35,127.00,0.0,80.00,2.48,1973.00
POONDI,03-10-2024,3231.00,140.00,124.19,277.00,0.0,185.00,5.73,2761.00
POONDI,05-01-2025,3231.00,140.00,139.93,1027.00,0.0,3124.00,96.69,3064.00
POONDI,05-08-2024,3231.00,140.00,122.43,107.00,4.0,83.00,2.57,1894.00
POONDI,06-02-2025,3231.00,140.00,140.00,378.00,0.0,3231.00,100.00,2851.00
POONDI,06-12-2024,3231.00,140.00,136.40,27.00,0.0,2108.00,65.24,2999.00
POONDI,07-03-2024,3231.00,140.00,137.23,303.00,0.0,2304.00,71.31,2435.00
POONDI,07-09-2024,3231.00,140.00,122.50,87.00,16.0,86.00,2.66,2290.00
POONDI,08-10-2023,3231.00,140.00,138.43,550.00,0.0,2648.00,81.96,610.00
POONDI,09-03-2024,3231.00,140.00,137.03,303.00,0.0,2249.00,69.61,2395.00
POONDI,09-04-2023,3231.00,140.00,134.31,298.00,0.0,1585.00,49.06,1933.00
POONDI,10-06-2023,3231.00,140.00,132.77,216.00,12.0,1277.00,39.52,989.00
POONDI,10-12-2023,3231.00,140.00,139.32,1009.00,0.0,2924.00,90.50,2681.00
POONDI,11-02-2023,3231.00,140.00,138.29,58.00,0.0,2606.00,80.66,2527.00
POONDI,11-05-2023,3231.00,140.00,131.19,298.00,0.0,1017.00,31.48,1290.00
